	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	kegg_id	kegg_hit	kegg_RBH	kegg_identity	kegg_bitScore	kegg_eVal	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_hits	vogdb_id	vogdb_categories	vogdb_hit	heme_regulatory_motif_count	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	virsorter_category	auxiliary_score	is_transposon	amg_flags
host__NZ_CP017173_1_Myxococcus_xanthus_strain_MC3_3_5c16_chromosome__complete_genome_6067770_9316378_0_3248608_1957470_1959776_246__full-cat_2_1	host__NZ_CP017173_1_Myxococcus_xanthus_strain_MC3_3_5c16_chromosome__complete_genome_6067770_9316378_0_3248608_1957470_1959776_246__full-cat_2	host__NZ_CP017173_1_Myxococcus_xanthus_strain_MC3_3_5c16_chromosome__complete_genome_6067770_9316378_0_3248608_1957470_1959776_246__full-cat_2	1	65	1321	1	A		mxa:MXAN_6401  beta-ketoacyl synthase family protein	True	0.907	780.0	1.143e-252							Beta-ketoacyl synthase, N-terminal domain [PF00109.26]; Beta-ketoacyl synthase, C-terminal domain [PF02801.22]					0								1	5	False	MKF
host__NZ_CP017173_1_Myxococcus_xanthus_strain_MC3_3_5c16_chromosome__complete_genome_6067770_9316378_0_3248608_1957470_1959776_246__full-cat_2_2	host__NZ_CP017173_1_Myxococcus_xanthus_strain_MC3_3_5c16_chromosome__complete_genome_6067770_9316378_0_3248608_1957470_1959776_246__full-cat_2	host__NZ_CP017173_1_Myxococcus_xanthus_strain_MC3_3_5c16_chromosome__complete_genome_6067770_9316378_0_3248608_1957470_1959776_246__full-cat_2	2	1339	2067	1	A	K09810	mxa:MXAN_6402  ABC transporter ATP-binding protein; K09810 lipoprotein-releasing system ATP-binding protein [EC:3.6.3.-]	True	0.91	434.0	4.618e-136	YP_004957306.1	YP_004957306.1 unnamed protein product [Planktothrix phage PaV-LD]	False	0.397	160.0	7.501e-43	ABC transporter [PF00005.27]; RecF/RecN/SMC N terminal domain [PF02463.19]; AAA domain, putative AbiEii toxin, Type IV TA system [PF13304.6]					0								1	4	False	MF
host__NZ_CP017173_1_Myxococcus_xanthus_strain_MC3_3_5c16_chromosome__complete_genome_6067770_9316378_0_3248608_1957470_1959776_246__full-cat_2_3	host__NZ_CP017173_1_Myxococcus_xanthus_strain_MC3_3_5c16_chromosome__complete_genome_6067770_9316378_0_3248608_1957470_1959776_246__full-cat_2	host__NZ_CP017173_1_Myxococcus_xanthus_strain_MC3_3_5c16_chromosome__complete_genome_6067770_9316378_0_3248608_1957470_1959776_246__full-cat_2	3	2064	2306	1	C		mxa:MXAN_6403  ABC transporter permease	False	0.962	166.0	1.331e-46												0								2	5	False	F
host__NZ_CP021963_1_Citrobacter_youngae_strain_L6_chromosome__complete_genome_3175276_3222669_0_47393_0_5952_1__full_1-cat_2_1	host__NZ_CP021963_1_Citrobacter_youngae_strain_L6_chromosome__complete_genome_3175276_3222669_0_47393_0_5952_1__full_1-cat_2	host__NZ_CP021963_1_Citrobacter_youngae_strain_L6_chromosome__complete_genome_3175276_3222669_0_47393_0_5952_1__full_1-cat_2	1	2	163	-1	C		stt:t4334  hypothetical protein	False	0.954	111.0	8.43e-28	YP_007003499.1	YP_007003499.1 cell division blocking protein [Salmonella phage RE-2010]	False	0.922	105.0	2.36e-27	Protein of unknown function (DUF2724) [PF10893.8]		sp|P15236|VFIL_BP186	Xh	sp|P15236|VFIL_BP186 Protein fil; Xh	0								1	5	False	F
host__NZ_CP021963_1_Citrobacter_youngae_strain_L6_chromosome__complete_genome_3175276_3222669_0_47393_0_5952_1__full_1-cat_2_2	host__NZ_CP021963_1_Citrobacter_youngae_strain_L6_chromosome__complete_genome_3175276_3222669_0_47393_0_5952_1__full_1-cat_2	host__NZ_CP021963_1_Citrobacter_youngae_strain_L6_chromosome__complete_genome_3175276_3222669_0_47393_0_5952_1__full_1-cat_2	2	171	680	-1	C		seep:I137_13130  hypothetical protein	False	0.897	318.0	1.488e-97	YP_001718760.1	YP_001718760.1 bacteriophage regulatory protein CII [Salmonella virus Fels2]	False	0.873	308.0	9.537e-96	Phage regulatory protein CII (CP76) [PF06892.11]		sp|P75976|YMFL_ECOLI	Xu	sp|P75976|YMFL_ECOLI Uncharacterized protein YmfL; Xu	0								1	3	False	F
host__NZ_CP021963_1_Citrobacter_youngae_strain_L6_chromosome__complete_genome_3175276_3222669_0_47393_0_5952_1__full_1-cat_2_3	host__NZ_CP021963_1_Citrobacter_youngae_strain_L6_chromosome__complete_genome_3175276_3222669_0_47393_0_5952_1__full_1-cat_2	host__NZ_CP021963_1_Citrobacter_youngae_strain_L6_chromosome__complete_genome_3175276_3222669_0_47393_0_5952_1__full_1-cat_2	3	713	934	-1	C		kpo:KPN2242_07260  hypothetical protein	False	0.937	146.0	1.319e-39									sp|P51705|VCOX_BPHC1	Xu	sp|P51705|VCOX_BPHC1 Regulatory protein cox; Xu	0								2	3	False	F
host__NZ_CP021963_1_Citrobacter_youngae_strain_L6_chromosome__complete_genome_3175276_3222669_0_47393_0_5952_1__full_1-cat_2_4	host__NZ_CP021963_1_Citrobacter_youngae_strain_L6_chromosome__complete_genome_3175276_3222669_0_47393_0_5952_1__full_1-cat_2	host__NZ_CP021963_1_Citrobacter_youngae_strain_L6_chromosome__complete_genome_3175276_3222669_0_47393_0_5952_1__full_1-cat_2	4	1060	1620	1	A		kpo:KPN2242_07255  repressor protein	True	0.929	364.0	4.24e-113	YP_001718762.1	YP_001718762.1 P2 CI-like protein [Salmonella virus Fels2]	False	0.437	155.0	3.7160000000000004e-42	Bacteriophage CI repressor C-terminal domain [PF16452.5]; Bacteriophage CI repressor helix-turn-helix domain [PF07022.13]					0								1	3	False	F
host__NZ_CP021963_1_Citrobacter_youngae_strain_L6_chromosome__complete_genome_3175276_3222669_0_47393_0_5952_1__full_1-cat_2_5	host__NZ_CP021963_1_Citrobacter_youngae_strain_L6_chromosome__complete_genome_3175276_3222669_0_47393_0_5952_1__full_1-cat_2	host__NZ_CP021963_1_Citrobacter_youngae_strain_L6_chromosome__complete_genome_3175276_3222669_0_47393_0_5952_1__full_1-cat_2	5	1694	2971	1	C		ttu:TERTU_2184  hypothetical protein	False	0.382	194.0	2.06e-50												0								2	3	False	F
host__NZ_CP021963_1_Citrobacter_youngae_strain_L6_chromosome__complete_genome_3175276_3222669_0_47393_0_5952_1__full_1-cat_2_6	host__NZ_CP021963_1_Citrobacter_youngae_strain_L6_chromosome__complete_genome_3175276_3222669_0_47393_0_5952_1__full_1-cat_2	host__NZ_CP021963_1_Citrobacter_youngae_strain_L6_chromosome__complete_genome_3175276_3222669_0_47393_0_5952_1__full_1-cat_2	6	3055	4074	1	A		ent:Ent638_1340  phage integrase family protein	True	0.957	684.0	7.057e-221	NP_052278.1	NP_052278.1 Int [Escherichia phage 186]	True	0.581	381.0	1.288e-117	Phage integrase family [PF00589.22]		sp|O10330|VLF1_NPVOP	Xr	sp|O10330|VLF1_NPVOP Very late expression factor 1; Xr	0								1	4	False	VF
host__NZ_CP021963_1_Citrobacter_youngae_strain_L6_chromosome__complete_genome_3175276_3222669_0_47393_0_5952_1__full_1-cat_2_7	host__NZ_CP021963_1_Citrobacter_youngae_strain_L6_chromosome__complete_genome_3175276_3222669_0_47393_0_5952_1__full_1-cat_2	host__NZ_CP021963_1_Citrobacter_youngae_strain_L6_chromosome__complete_genome_3175276_3222669_0_47393_0_5952_1__full_1-cat_2	7	4266	4478	1	E																		0								2	4	False	F
