seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular	contig_length	total_genes	viral_genes	host_genes	provirus	proviral_length	host_length	region_types	region_lengths	region_coords_bp	region_coords_genes	region_viral_genes	region_host_genes
NC_010404.1||full	0.633	0.0	0.633	dsDNAphage	94245	2	27.0	29.7	94245	94	4	36	Yes	20514.0	73731.0	host,viral,host	69277,20514,4454	1-69277,69278-89791,89792-94245	1-61,62-89,90-94	0,4,0	30,1,5
NC_018680.1||full	0.993	0.007	0.993	dsDNAphage	44500	4	55.8	7.7	44500	53	8	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP005932.1||full	0.373	0.627	0.627	ssDNA	2312	0	50.0	0.0	2312	2	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP010580.1||full	0.82	0.0	0.82	dsDNAphage	73173	0	15.6	12.5	73173	102	5	9	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP015284.1||full	0.88	0.0	0.88	dsDNAphage	126525	1	26.3	12.3	126525	115	6	11	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP019921.1||full	0.533	0.0	0.533	dsDNAphage	60727	2	9.8	72.5	60727	91	12	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP019561.1||full	0.62	0.0	0.62	dsDNAphage	122731	0	53.8	15.4	122731	129	4	38	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_004838.1||full	0.96	0.0	0.96	dsDNAphage	100990	12	50.0	16.4	100990	110	34	7	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_005006.1||full	0.54	0.08	0.54	dsDNAphage	8007	0	11.1	0.0	8007	9	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_004721.2||full	0.973	0.133	0.973	dsDNAphage	14781	5	79.2	8.3	14781	24	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_005815.1||full	0.96	0.0	0.96	dsDNAphage	106554	12	50.9	16.7	106554	114	32	7	Yes	97780.0	8774.0	viral,host	97780,8774	1-97780,97781-106554	1-107,108-114	32,0	4,3
NC_003134.1||full	0.953	0.0	0.953	dsDNAphage	96122	12	52.0	18.0	96122	100	31	7	Yes	73055.0	23067.0	viral,host	73055,23067	1-73055,73056-96122	1-84,85-100	30,1	2,5
NC_007504.1||full	0.8	0.933	0.933	ssDNA	1852	0	33.3	0.0	1852	3	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_009343.1||full	0.993	0.0	0.993	dsDNAphage	49062	8	42.3	2.8	49062	71	27	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_011836.1||full	1.0	0.0	1.0	dsDNAphage	58952	10	50.0	6.4	58952	78	19	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_011562.1||full	0.967	0.007	0.967	dsDNAphage	31495	1	27.3	9.1	31495	44	1	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_013370.1||full	0.98	0.0	0.98	dsDNAphage	97293	7	55.6	5.1	97293	117	44	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_011971.1||full	0.987	0.007	0.987	dsDNAphage	52407	8	42.5	9.6	52407	73	15	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_008118.1||full	0.947	0.0	0.947	dsDNAphage	100795	12	50.5	16.5	100795	109	33	7	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_008120.1||full	0.94	0.0	0.94	dsDNAphage	96348	13	52.5	18.8	96348	101	32	7	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_008598.1||full	0.973	0.0	0.973	dsDNAphage	55939	12	43.9	13.4	55939	82	25	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_008704.1||full	0.54	0.0	0.54	dsDNAphage	215450	0	16.7	8.3	215450	237	10	49	Yes	7138.0	208312.0	viral,host	7138,208312	1-7138,7139-215450	1-9,10-237	2,8	0,49
NC_009038.1||full	0.98	0.0	0.98	dsDNAphage	7832	1	25.0	8.3	7832	12	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_009378.1||full	0.927	0.0	0.927	dsDNAphage	136887	12	41.0	30.2	136887	139	33	14	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_009466.1||full	1.0	0.0	1.0	dsDNAphage	58971	10	48.8	6.2	58971	80	19	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_009673.1||full	0.987	0.4	0.987	dsDNAphage	6965	1	16.7	0.0	6965	11	0	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_009829.1||full	1.0	0.02	1.0	dsDNAphage	46789	13	65.3	5.3	46789	75	35	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_010158.1||full	0.94	0.0	0.94	dsDNAphage	114447	12	47.1	23.1	114447	121	29	5	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_010182.1||full	1.0	0.0	1.0	dsDNAphage	64850	7	40.0	4.7	64850	85	21	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_010183.1||full	0.967	0.0	0.967	dsDNAphage	52643	9	47.1	13.2	52643	68	24	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_010507.1||full	0.92	0.007	0.92	dsDNAphage	19688	2	24.0	8.0	19688	25	3	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_010550.1||full	0.693	0.933	0.933	ssDNA	1710	0	33.3	0.0	1710	3	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_010721.1||full	0.88	0.013	0.88	dsDNAphage	23275	6	51.7	17.2	23275	29	13	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_011654.1||full	0.933	0.093	0.933	dsDNAphage	12454	1	7.1	0.0	12454	28	1	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_011656.1||full	0.773	0.0	0.773	dsDNAphage	44731	1	20.8	18.8	44731	54	2	6	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_011774.1||full	0.973	0.0	0.973	dsDNAphage	138214	20	40.8	5.8	138214	120	6	7	Yes	132768.0	5446.0	host,viral	5446,132768	1-5446,5447-138214	1-6,7-120	0,6	2,5
NC_011720.1||full	0.567	0.0	0.567	dsDNAphage	48166	2	10.2	74.6	48166	69	9	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_012036.1||full	0.633	0.007	0.633	dsDNAphage	8069	0	28.6	14.3	8069	7	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_017155.1||full	0.94	0.0	0.94	dsDNAphage	94126	12	51.0	18.4	94126	98	31	7	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_017158.1||full	0.967	0.0	0.967	dsDNAphage	95923	12	51.0	17.6	95923	102	32	7	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_014022.1||full	0.953	0.0	0.953	dsDNAphage	94128	12	51.5	18.6	94128	97	31	7	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_012983.1||full	0.653	0.0	0.653	dsDNAphage	84412	1	30.0	10.0	84412	67	1	38	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_013164.1||full	0.713	0.0	0.713	dsDNAphage	115421	0	31.8	13.6	115421	108	2	51	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_013208.1||full	0.993	0.667	0.993	dsDNAphage	7395	1	33.3	0.0	7395	9	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_013519.1||full	0.527	0.033	0.527	dsDNAphage	13499	0	11.8	0.0	13499	17	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_013930.1||full	0.68	0.0	0.68	dsDNAphage	240089	0	41.7	0.0	240089	292	10	48	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_014026.1||full	0.987	0.107	0.987	dsDNAphage	10996	2	35.7	7.1	10996	14	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_014149.1||full	1.0	0.0	1.0	dsDNAphage	36942	9	42.4	3.4	36942	59	13	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_014333.1||full	0.847	0.0	0.847	dsDNAphage	14115	1	8.7	4.3	14115	23	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_014389.1||full	0.84	0.0	0.84	dsDNAphage	360491	1	15.4	9.7	360491	441	9	30	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_020420.1||full	0.653	0.08	0.653	dsDNAphage	11201	0	11.8	0.0	11201	17	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_012782.1||full	1.0	0.113	1.0	dsDNAphage	60376	9	69.4	3.1	60376	98	29	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_017318.1||full	1.0	0.02	1.0	dsDNAphage	44191	15	65.5	12.1	44191	58	37	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_014535.1||full	0.807	0.027	0.807	dsDNAphage	11630	1	16.7	0.0	11630	12	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_015952.1||full	0.847	0.0	0.847	dsDNAphage	177961	8	14.3	4.1	177961	228	20	17	Yes	147292.0	30669.0	viral,host	147292,30669	1-147292,147293-177961	1-192,193-228	18,2	4,13
NC_014628.2||full	0.867	0.0	0.867	dsDNAphage	500455	4	19.3	9.8	500455	625	27	63	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_014728.1||full	0.86	0.207	0.86	dsDNAphage	6099	0	28.6	0.0	6099	7	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_017266.1||full	0.967	0.0	0.967	dsDNAphage	99198	12	50.9	17.0	99198	106	33	7	Yes	88681.0	10517.0	viral,host	88681,10517	1-88681,88682-99198	1-96,97-106	33,0	4,3
NC_020524.1||full	0.993	0.0	0.993	dsDNAphage	109964	9	43.4	7.4	109964	122	29	10	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_015166.1||full	0.593	0.48	0.593	dsDNAphage	6099	0	44.4	0.0	6099	9	0	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_017488.1||full	0.34	0.787	0.787	ssDNA	2196	0	33.3	0.0	2196	3	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_017209.1||full	0.667	0.027	0.667	dsDNAphage	14826	0	16.7	0.0	14826	25	2	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_017204.1||full	0.993	0.0	0.993	dsDNAphage	51375	7	40.3	5.6	51375	72	14	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_003385.1||full	0.98	0.0	0.98	dsDNAphage	106487	13	55.0	3.9	106487	129	44	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_012961.1||full	0.973	0.0	0.973	dsDNAphage	27417	6	43.3	10.0	27417	30	13	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_011315.1||full	0.92	0.24	0.92	dsDNAphage	5015	1	33.3	0.0	5015	3	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_015313.1||full	0.747	0.013	0.747	dsDNAphage	14181	0	12.0	4.0	14181	23	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_014549.1||full	0.54	0.0	0.54	dsDNAphage	49508	1	14.3	9.5	49508	56	1	4	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_006376.1||full	0.26	0.533	0.533	ssDNA	2263	0	33.3	0.0	2263	3	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_015409.1||full	0.64	0.013	0.64	dsDNAphage	49891	1	11.5	7.7	49891	45	0	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_015417.1||full	0.94	0.0	0.94	dsDNAphage	202021	6	45.0	7.4	202021	231	36	14	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_015427.1||full	0.993	0.0	0.993	dsDNAphage	39498	10	54.5	1.8	39498	55	22	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_015459.1||full	1.0	0.047	1.0	dsDNAphage	41180	13	50.7	1.5	41180	67	29	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_015876.1||full	0.393	0.947	0.947	ssDNA	4724	0	50.0	0.0	4724	6	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_017169.1||full	0.953	0.0	0.953	dsDNAphage	96103	12	52.0	18.0	96103	100	31	7	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_015969.1||full	0.993	0.0	0.993	dsDNAphage	32295	17	71.1	21.1	32295	38	30	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_017141.1||full	0.593	0.2	0.593	dsDNAphage	7004	0	18.2	0.0	7004	11	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LN906635.1||full	0.96	0.007	0.96	dsDNAphage	137883	6	36.7	5.7	137883	158	35	7	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_016635.1||full	0.493	0.753	0.753	ssDNA	1743	0	50.0	0.0	1743	2	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_016794.1||full	0.953	0.0	0.953	dsDNAphage	54785	10	36.7	16.5	54785	79	25	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_016838.1||full	0.993	0.0	0.993	dsDNAphage	122599	16	51.5	11.8	122599	136	37	5	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_AP014883.1||full	0.707	0.02	0.707	dsDNAphage	6195	0	44.4	11.1	6195	9	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_017653.1||full	0.993	0.0	0.993	dsDNAphage	93411	10	55.0	8.3	93411	109	39	3	Yes	88502.0	4909.0	host,viral	4909,88502	1-4909,4910-93411	1-9,10-109	1,38	3,0
NZ_CP011014.1||full	0.993	0.107	0.993	dsDNAphage	108308	8	49.2	3.4	108308	118	32	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP013740.1||full	0.667	0.12	0.667	dsDNAphage	7231	0	30.0	0.0	7231	10	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP007729.1||full	0.873	0.0	0.873	dsDNAphage	237722	13	30.0	39.5	237722	260	42	75	Yes	109053.0	128669.0	host,viral	128669,109053	1-128669,128670-237722	1-132,133-260	1,41	70,5
NZ_CP008829.1||full	0.873	0.0	0.873	dsDNAphage	237722	13	30.0	39.5	237722	260	42	75	Yes	109053.0	128669.0	host,viral	128669,109053	1-128669,128670-237722	1-132,133-260	1,41	70,5
NC_016772.1||full	1.0	0.02	1.0	dsDNAphage	47969	15	64.6	2.5	47969	79	36	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_017073.1||full	0.993	0.033	0.993	dsDNAphage	72020	8	31.0	0.0	72020	100	16	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_017069.1||full	0.98	0.02	0.98	dsDNAphage	72877	6	34.4	5.2	72877	96	13	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_017074.1||full	1.0	0.013	1.0	dsDNAphage	34910	10	55.8	4.7	34910	43	19	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_017669.1||full	0.507	0.0	0.507	dsDNAphage	16044	0	23.5	5.9	16044	21	3	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_018487.1||full	0.953	0.0	0.953	dsDNAphage	69873	7	40.5	13.1	69873	84	20	11	Yes	44065.0	25808.0	viral,host,viral	11053,25808,33012	1-11053,11054-36861,36862-69873	1-7,8-32,33-84	2,0,18	1,10,0
NC_018502.1||full	1.0	0.08	1.0	dsDNAphage	42584	14	59.1	1.5	42584	66	30	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_018509.1||full	0.993	0.0	0.993	dsDNAphage	235422	24	37.8	4.6	235422	262	36	17	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_018517.1||full	0.973	0.147	0.973	dsDNAphage	14463	5	73.1	7.7	14463	26	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_018511.1||full	0.787	0.0	0.787	dsDNAphage	7489	1	25.0	12.5	7489	8	0	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_018512.1||full	0.907	0.013	0.907	dsDNAphage	5655	1	40.0	20.0	5655	5	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_018651.1||full	0.973	0.013	0.973	dsDNAphage	109271	13	59.4	4.7	109271	128	49	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_018657.1||full	0.613	0.727	0.727	ssDNA	2463	0	33.3	0.0	2463	4	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP011851.1||full	0.853	0.013	0.853	dsDNAphage	33318	7	55.6	11.1	33318	45	8	3	Yes	27697.0	5621.0	host,viral	5621,27697	1-5621,5622-33318	1-6,7-45	0,8	2,1
NZ_CP011852.1||full	0.9	0.0	0.9	dsDNAphage	50496	8	46.3	22.3	50496	54	14	7	Yes	24291.0	26205.0	viral,host	24291,26205	1-24291,24292-50496	1-28,29-54	13,1	1,6
NC_018694.1||full	1.0	0.0	1.0	dsDNAphage	54482	9	40.6	7.2	54482	69	17	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_019440.1||full	0.653	0.333	0.653	dsDNAphage	19838	0	13.6	0.0	19838	22	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_019562.1||full	0.807	0.947	0.947	ssDNA	2103	0	100.0	0.0	2103	2	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_019679.1||full	0.66	0.0	0.66	dsDNAphage	23938	1	8.7	4.3	23938	27	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_019743.1||full	0.713	0.0	0.713	dsDNAphage	20194	0	7.1	0.0	20194	29	0	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_020052.1||full	0.913	0.0	0.913	dsDNAphage	10912	1	25.0	8.3	10912	12	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_019938.1||full	0.58	0.02	0.58	dsDNAphage	9855	0	26.3	15.8	9855	19	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_019939.1||full	0.78	0.553	0.78	dsDNAphage	2739	0	25.0	0.0	2739	4	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_020292.1||full	0.98	0.0	0.98	dsDNAphage	135442	21	33.6	7.5	135442	107	3	7	No	NA	NA	NA	NA	NA	NA	NA	NA
